EventType,EventTime_ET,OffsetMin,Minute_ET,Actual,Forecast,Previous,BTC_ret_1m,ETH_ret_1m,Surprise,Category,BTC_volume_1m,ETH_volume_1m
CPI,2024-01-11 09:30:00-05:00,53,2024-01-11 10:23:00-05:00,0.3,0.3,0.3,0.00214362,-0.00030145,0,Equal,141.48,1356.29
CPI,2024-01-11 09:30:00-05:00,54,2024-01-11 10:24:00-05:00,0.3,0.3,0.3,0.00042881,-0.00036562,0,Equal,83.11,929.11
CPI,2024-01-11 09:30:00-05:00,55,2024-01-11 10:25:00-05:00,0.3,0.3,0.3,0.0016528,0.00139893,0,Equal,101.5,765.78
CPI,2024-01-11 09:30:00-05:00,56,2024-01-11 10:26:00-05:00,0.3,0.3,0.3,-0.00041685,-0.00090747,0,Equal,120.64,995.18
CPI,2024-01-11 09:30:00-05:00,57,2024-01-11 10:27:00-05:00,0.3,0.3,0.3,-0.00275266,-0.00253644,0,Equal,79.31,898.3
CPI,2024-01-11 09:30:00-05:00,58,2024-01-11 10:28:00-05:00,0.3,0.3,0.3,-0.00026105,-0.00007557,0,Equal,140.62,1154.59
CPI,2024-01-11 09:30:00-05:00,59,2024-01-11 10:29:00-05:00,0.3,0.3,0.3,0.0016241,0.00067261,0,Equal,83.54,1103.25
CPI,2024-01-11 09:30:00-05:00,60,2024-01-11 10:30:00-05:00,0.3,0.3,0.3,0.00016445,-0.00161998,0,Equal,121.53,1123.84
CPI,2024-01-11 09:30:00-05:00,61,2024-01-11 10:31:00-05:00,0.3,0.3,0.3,-0.0019444,-0.00033284,0,Equal,80.01,628.44
CPI,2024-01-11 09:30:00-05:00,62,2024-01-11 10:32:00-05:00,0.3,0.3,0.3,0.00084362,0.00017783,0,Equal,72.8,785.33
CPI,2024-01-11 09:30:00-05:00,63,2024-01-11 10:33:00-05:00,0.3,0.3,0.3,-0.00233083,-0.00124457,0,Equal,78.72,583.59
CPI,2024-01-11 09:30:00-05:00,64,2024-01-11 10:34:00-05:00,0.3,0.3,0.3,-0.00187217,-0.00120825,0,Equal,133.12,1227.4
CPI,2024-01-11 09:30:00-05:00,65,2024-01-11 10:35:00-05:00,0.3,0.3,0.3,0.00136906,-0.00131589,0,Equal,112.15,2948.54
CPI,2024-01-11 09:30:00-05:00,66,2024-01-11 10:36:00-05:00,0.3,0.3,0.3,-0.00096417,-0.00051262,0,Equal,112.96,1331.78
CPI,2024-01-11 09:30:00-05:00,67,2024-01-11 10:37:00-05:00,0.3,0.3,0.3,0.00034139,-0.00030013,0,Equal,97.61,1969.36
CPI,2024-01-11 09:30:00-05:00,68,2024-01-11 10:38:00-05:00,0.3,0.3,0.3,-0.00361995,-0.00253478,0,Equal,228,2318.68
CPI,2024-01-11 09:30:00-05:00,69,2024-01-11 10:39:00-05:00,0.3,0.3,0.3,-0.00164424,0.00012192,0,Equal,209.97,1311.37
CPI,2024-01-11 09:30:00-05:00,70,2024-01-11 10:40:00-05:00,0.3,0.3,0.3,0.00198517,0.00108951,0,Equal,294.47,3093.15
CPI,2024-01-11 09:30:00-05:00,71,2024-01-11 10:41:00-05:00,0.3,0.3,0.3,-0.00455155,-0.00348567,0,Equal,189.9,2428.91
CPI,2024-01-11 09:30:00-05:00,72,2024-01-11 10:42:00-05:00,0.3,0.3,0.3,-0.0060196,-0.0027265,0,Equal,481.62,4854.61
CPI,2024-01-11 09:30:00-05:00,73,2024-01-11 10:43:00-05:00,0.3,0.3,0.3,0.00371341,0.00108363,0,Equal,346.31,2342.19
CPI,2024-01-11 09:30:00-05:00,74,2024-01-11 10:44:00-05:00,0.3,0.3,0.3,0.00243121,0.00124693,0,Equal,194.05,2741.62
CPI,2024-01-11 09:30:00-05:00,75,2024-01-11 10:45:00-05:00,0.3,0.3,0.3,-0.00603066,-0.00355657,0,Equal,239.27,1675.14
CPI,2024-01-11 09:30:00-05:00,76,2024-01-11 10:46:00-05:00,0.3,0.3,0.3,0.00140751,0.00168304,0,Equal,374.73,3468.15
CPI,2024-01-11 09:30:00-05:00,77,2024-01-11 10:47:00-05:00,0.3,0.3,0.3,-0.00156362,0.00006124,0,Equal,267.32,2104.22
CPI,2024-01-11 09:30:00-05:00,78,2024-01-11 10:48:00-05:00,0.3,0.3,0.3,0.00035161,0.00003062,0,Equal,186.33,1431.84
CPI,2024-01-11 09:30:00-05:00,79,2024-01-11 10:49:00-05:00,0.3,0.3,0.3,-0.00405598,-0.00168005,0,Equal,331.78,1898.06
CPI,2024-01-11 09:30:00-05:00,80,2024-01-11 10:50:00-05:00,0.3,0.3,0.3,-0.00371338,-0.00248791,0,Equal,495.18,3635.32
CPI,2024-01-11 09:30:00-05:00,81,2024-01-11 10:51:00-05:00,0.3,0.3,0.3,0.00358187,0.00338569,0,Equal,395.47,1925.04
CPI,2024-01-11 09:30:00-05:00,82,2024-01-11 10:52:00-05:00,0.3,0.3,0.3,-0.00117059,-0.00078516,0,Equal,330.94,1582.66
CPI,2024-01-11 09:30:00-05:00,83,2024-01-11 10:53:00-05:00,0.3,0.3,0.3,0.00211818,0.00121508,0,Equal,158.23,1302.34
CPI,2024-01-11 09:30:00-05:00,84,2024-01-11 10:54:00-05:00,0.3,0.3,0.3,-0.00195405,-0.0008767,0,Equal,113.54,907.73
CPI,2024-01-11 09:30:00-05:00,85,2024-01-11 10:55:00-05:00,0.3,0.3,0.3,0.00019936,0.00020308,0,Equal,175.6,1055.17
CPI,2024-01-11 09:30:00-05:00,86,2024-01-11 10:56:00-05:00,0.3,0.3,0.3,-0.00189004,-0.00201893,0,Equal,179.43,1240.07
CPI,2024-01-11 09:30:00-05:00,87,2024-01-11 10:57:00-05:00,0.3,0.3,0.3,0.00161627,0.00133972,0,Equal,141.53,1074.15
CPI,2024-01-11 09:30:00-05:00,88,2024-01-11 10:58:00-05:00,0.3,0.3,0.3,0.00062341,0.00095456,0,Equal,95.31,573.95
CPI,2024-01-11 09:30:00-05:00,89,2024-01-11 10:59:00-05:00,0.3,0.3,0.3,0.00127793,0.00083493,0,Equal,99.06,578.64
